Created Date,Page ID,Review Rating,Review Headline,Comment,Review Location,Reviewer Nickname
Thu Aug 15 00:30:07 2024,614293,5,So easy to work with absolutely brilliant,So easy to work with absolutely brilliant,GB,fat25924
Wed Aug 14 23:14:22 2024,614293,5,Silky!,Silky!,GB,rae45642
Wed Aug 14 20:19:48 2024,614293,5,Efficient and straightforward ordering experience.,Efficient and straightforward ordering experience.,GB,aml18243
Wed Aug 14 19:47:25 2024,614293,5,Dead easy :),Dead easy :),GB,ssh34700
Wed Aug 14 19:20:29 2024,614293,5,Great stuff as ever!,Great stuff as ever!,GB,bwa48104
Wed Aug 14 16:11:44 2024,614293,4,GOOD,GOOD,GB,aaa25098
Wed Aug 14 14:28:14 2024,614293,5,Excellent,Excellent,GB,lde31590
Wed Aug 14 14:23:15 2024,614293,5,Bought from Wex for years.,Bought from Wex for years. Always easy to find products. Great service as always.,GB,aaa12244
Wed Aug 14 13:53:10 2024,614293,5,"Snagless, as always.","Snagless, as always.",GB,lag27679
Wed Aug 14 13:48:11 2024,614293,5,Very quick and easy to use,Very quick and easy to use,GB,daa38984
Wed Aug 14 13:13:32 2024,614293,5,Great as usual.,Great as usual.,GB,gut37777
Wed Aug 14 12:25:44 2024,614293,5,Easy process,Easy process,GB,qaz38862
Wed Aug 14 10:17:59 2024,614293,5,trouble free,trouble free,GB,kpl33444
Wed Aug 14 10:10:53 2024,614293,5,Painless!,Painless!,GB,dlh10758
Wed Aug 14 09:55:38 2024,614293,5,Easy to use website,Easy to use website,GB,afa24380
Wed Aug 14 07:03:49 2024,614293,5,"Excellent experience, nice and easy to find what I was lo...","Excellent experience, nice and easy to find what I was looking for and no issues placing an order",GB,svq21532
Tue Aug 13 23:35:05 2024,614293,5,Its all gone well so far but ive only just ordered.,Its all gone well so far but ive only just ordered.,GB,aaa11877
Tue Aug 13 21:14:08 2024,614293,4,Your web page is easy to use and navigate and quite clear...,"Your web page is easy to use and navigate and quite clear, the disription of the equipment offered is also first class",GB,anr12216
Tue Aug 13 20:23:22 2024,614293,5,Very easy.,Very easy. Have used before with bio complaints,GB,oae7938
Tue Aug 13 17:47:24 2024,614293,5,Easy to use website; clear descriptions and pricing.,Easy to use website; clear descriptions and pricing.,GB,gao2985
Tue Aug 13 16:35:05 2024,614293,5,"Choose easily and quickly, ideal.","Choose easily and quickly, ideal.",GB,huy48778
Tue Aug 13 16:25:27 2024,614293,5,great price and service,great price and service,GB,aaw37832
Tue Aug 13 16:00:20 2024,614293,5,If the camera is as good as the service it will be outsta...,If the camera is as good as the service it will be outstanding. Excellent so far.,GB,nhc34436
Tue Aug 13 15:36:23 2024,614293,5,"EASY SO FAR , LETS SEE IF AND WHEN IT TURNS UP","EASY SO FAR , LETS SEE IF AND WHEN IT TURNS UP",GB,wau40598
Tue Aug 13 15:02:28 2024,614293,5,its also so easy from find the equipment to ordering deli...,its also so easy from find the equipment to ordering delivery always prompt I cannot recommend WEX enough,GB,rfd35288
